web-scraper-order,web-scraper-start-url,Game_title,Rating,Downloads
"1613978355-1929","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=98","Pyre's Mario 69 (SMB3 Hack)","4.3/5","1,428"
"1613978471-2783","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=55","Hudson's Adventure Island [T-Span0.99]","4.8/5","1,862"
"1613978289-1414","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=123","Super Mario Bros 2 [T-Swed]","4.8/5","2,580"
"1613978347-1865","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=101","Red Ariimaa 2","4.2/5","1,186"
"1613978595-3678","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=10","Baby Boomer","5/5","2,064"
"1613978542-3297","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=29","Deep Dungeon 3 - Yuushi Heno Tabi [T-Eng]","4.3/5","1,206"
"1613978267-1259","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=131","Tempez Dig Dug (Hack)","4.2/5","1,906"
"1613978235-1030","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=143","World Heroes 2","4.2/5","5,040"
"1613978578-3568","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=16","Bloody Kong (Donkey Kong 3 Hack)","5/5","1,224"
"1613978452-2641","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=62","Kart Fighter","4/5","10,851"
"1613978232-996","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=144","Wrecking Crew (VS)","4.3/5","8,486"
"1613978578-3557","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=16","Blades Of Steel","4.1/5","5,408"
"1613978441-2553","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=66","Labyrinth","3.2/5","2,085"
"1613978604-3733","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=7","Alien Syndrome","4.1/5","6,314"
"1613978377-2080","https://romsmania.cc/roms/nintendo/search?name=&genre=&region=&orderBy=name&orderAsc=1&page=90","Nobunaga No Yabou - Zenkoku Ban [hM02]","0/5","861"
